year,state,percentile,mean,median,minimum,maximum
2019,Malaysia,1st,957,1001,,1141.0
2019,Malaysia,2nd,1284,1244,1141.0,1459.0
2019,Malaysia,3rd,1556,1559,1460.0,1641.0
2019,Malaysia,4th,1718,1718,1642.0,1789.0
2019,Malaysia,5th,1858,1856,1790.0,1928.0
2019,Malaysia,6th,1993,1994,1929.0,2054.0
2019,Malaysia,7th,2111,2111,2055.0,2165.0
2019,Malaysia,8th,2223,2222,2166.0,2282.0
2019,Malaysia,9th,2342,2342,2283.0,2395.0
2019,Malaysia,10th,2448,2448,2396.0,2499.0
2019,Malaysia,11th,2521,2520,2500.0,2547.0
2019,Malaysia,12th,2572,2573,2548.0,2594.0
2019,Malaysia,13th,2626,2626,2595.0,2653.0
2019,Malaysia,14th,2682,2681,2654.0,2709.0
2019,Malaysia,15th,2747,2748,2710.0,2785.0
2019,Malaysia,16th,2824,2824,2786.0,2861.0
2019,Malaysia,17th,2901,2902,2862.0,2940.0
2019,Malaysia,18th,2979,2981,2941.0,3014.0
2019,Malaysia,19th,3051,3050,3015.0,3089.0
2019,Malaysia,20th,3129,3130,3090.0,3169.0
2019,Malaysia,21st,3204,3203,3170.0,3244.0
2019,Malaysia,22nd,3284,3285,3245.0,3322.0
2019,Malaysia,23rd,3361,3360,3323.0,3399.0
2019,Malaysia,24th,3438,3436,3400.0,3477.0
2019,Malaysia,25th,3518,3519,3478.0,3555.0
2019,Malaysia,26th,3596,3596,3556.0,3638.0
2019,Malaysia,27th,3679,3680,3639.0,3715.0
2019,Malaysia,28th,3759,3760,3716.0,3799.0
2019,Malaysia,29th,3845,3845,3800.0,3888.0
2019,Malaysia,30th,3930,3931,3889.0,3969.0
2019,Malaysia,31st,4013,4014,3970.0,4055.0
2019,Malaysia,32nd,4093,4091,4056.0,4132.0
2019,Malaysia,33rd,4175,4173,4133.0,4218.0
2019,Malaysia,34th,4261,4262,4219.0,4302.0
2019,Malaysia,35th,4344,4342,4303.0,4386.0
2019,Malaysia,36th,4430,4430,4387.0,4474.0
2019,Malaysia,37th,4521,4521,4475.0,4568.0
2019,Malaysia,38th,4614,4614,4569.0,4658.0
2019,Malaysia,39th,4704,4704,4659.0,4747.0
2019,Malaysia,40th,4796,4796,4748.0,4849.0
2019,Malaysia,41st,4895,4896,4850.0,4944.0
2019,Malaysia,42nd,4989,4988,4945.0,5033.0
2019,Malaysia,43rd,5083,5085,5034.0,5130.0
2019,Malaysia,44th,5183,5184,5131.0,5232.0
2019,Malaysia,45th,5286,5286,5233.0,5335.0
2019,Malaysia,46th,5387,5384,5336.0,5443.0
2019,Malaysia,47th,5497,5498,5444.0,5547.0
2019,Malaysia,48th,5601,5601,5548.0,5655.0
2019,Malaysia,49th,5712,5712,5656.0,5765.0
2019,Malaysia,50th,5822,5823,5766.0,5879.0
2019,Malaysia,51st,5931,5931,5880.0,5988.0
2019,Malaysia,52nd,6045,6046,5989.0,6102.0
2019,Malaysia,53rd,6166,6166,6103.0,6230.0
2019,Malaysia,54th,6290,6290,6231.0,6351.0
2019,Malaysia,55th,6413,6416,6352.0,6470.0
2019,Malaysia,56th,6535,6536,6471.0,6594.0
2019,Malaysia,57th,6657,6659,6595.0,6722.0
2019,Malaysia,58th,6785,6783,6723.0,6845.0
2019,Malaysia,59th,6909,6909,6846.0,6969.0
2019,Malaysia,60th,7032,7033,6970.0,7109.0
2019,Malaysia,61st,7162,7163,7110.0,7226.0
2019,Malaysia,62nd,7295,7293,7227.0,7367.0
2019,Malaysia,63rd,7441,7442,7368.0,7511.0
2019,Malaysia,64th,7588,7587,7512.0,7661.0
2019,Malaysia,65th,7746,7746,7662.0,7827.0
2019,Malaysia,66th,7905,7906,7828.0,7978.0
2019,Malaysia,67th,8064,8066,7979.0,8145.0
2019,Malaysia,68th,8227,8229,8146.0,8306.0
2019,Malaysia,69th,8401,8401,8307.0,8491.0
2019,Malaysia,70th,8578,8579,8492.0,8699.0
2019,Malaysia,71st,8760,8761,8700.0,8851.0
2019,Malaysia,72nd,8950,8948,8852.0,9049.0
2019,Malaysia,73rd,9151,9149,9050.0,9248.0
2019,Malaysia,74th,9357,9353,9249.0,9467.0
2019,Malaysia,75th,9582,9583,9468.0,9694.0
2019,Malaysia,76th,9814,9812,9695.0,9932.0
2019,Malaysia,77th,10048,10046,9933.0,10165.0
2019,Malaysia,78th,10287,10284,10166.0,10414.0
2019,Malaysia,79th,10544,10545,10415.0,10669.0
2019,Malaysia,80th,10810,10809,10670.0,10959.0
2019,Malaysia,81st,11097,11092,10960.0,11236.0
2019,Malaysia,82nd,11387,11383,11237.0,11544.0
2019,Malaysia,83rd,11712,11712,11545.0,11867.0
2019,Malaysia,84th,12024,12022,11868.0,12186.0
2019,Malaysia,85th,12384,12381,12187.0,12585.0
2019,Malaysia,86th,12782,12778,12586.0,12993.0
2019,Malaysia,87th,13212,13204,12994.0,13437.0
2019,Malaysia,88th,13684,13681,13438.0,13938.0
2019,Malaysia,89th,14187,14176,13939.0,14443.0
2019,Malaysia,90th,14732,14734,14444.0,15039.0
2019,Malaysia,91st,15350,15343,15040.0,15674.0
2019,Malaysia,92nd,16012,16006,15675.0,16402.0
2019,Malaysia,93rd,16849,16850,16403.0,17297.0
2019,Malaysia,94th,17824,17801,17298.0,18434.0
2019,Malaysia,95th,19093,19084,18435.0,19780.0
2019,Malaysia,96th,20646,20600,19781.0,21563.0
2019,Malaysia,97th,22741,22670,21564.0,24062.0
2019,Malaysia,98th,25932,25834,24063.0,28057.0
2019,Malaysia,99th,31805,31549,28058.0,36615.0
2019,Malaysia,100th,56741,47319,36615.0,
2019,Johor,1st,1067,1089,,1244.0
2019,Johor,2nd,1487,1499,1244.0,1645.0
2019,Johor,3rd,1772,1780,1646.0,1897.0
2019,Johor,4th,1997,2002,1898.0,2094.0
2019,Johor,5th,2169,2176,2095.0,2261.0
2019,Johor,6th,2336,2326,2262.0,2426.0
2019,Johor,7th,2479,2490,2427.0,2513.0
2019,Johor,8th,2551,2555,2514.0,2584.0
2019,Johor,9th,2623,2627,2585.0,2656.0
2019,Johor,10th,2698,2701,2657.0,2735.0
2019,Johor,11th,2774,2774,2736.0,2821.0
2019,Johor,12th,2861,2860,2822.0,2908.0
2019,Johor,13th,2960,2959,2909.0,3014.0
2019,Johor,14th,3057,3058,3015.0,3104.0
2019,Johor,15th,3145,3143,3105.0,3180.0
2019,Johor,16th,3232,3238,3181.0,3279.0
2019,Johor,17th,3326,3328,3280.0,3370.0
2019,Johor,18th,3419,3419,3371.0,3461.0
2019,Johor,19th,3521,3526,3462.0,3572.0
2019,Johor,20th,3627,3623,3573.0,3676.0
2019,Johor,21st,3712,3710,3677.0,3755.0
2019,Johor,22nd,3793,3795,3756.0,3826.0
2019,Johor,23rd,3871,3870,3827.0,3921.0
2019,Johor,24th,3963,3963,3922.0,4001.0
2019,Johor,25th,4046,4043,4002.0,4090.0
2019,Johor,26th,4140,4139,4091.0,4193.0
2019,Johor,27th,4230,4225,4194.0,4281.0
2019,Johor,28th,4327,4327,4282.0,4367.0
2019,Johor,29th,4401,4405,4368.0,4435.0
2019,Johor,30th,4480,4479,4436.0,4531.0
2019,Johor,31st,4574,4575,4532.0,4609.0
2019,Johor,32nd,4649,4647,4610.0,4699.0
2019,Johor,33rd,4742,4740,4700.0,4797.0
2019,Johor,34th,4839,4837,4798.0,4882.0
2019,Johor,35th,4924,4923,4883.0,4960.0
2019,Johor,36th,5001,5001,4961.0,5041.0
2019,Johor,37th,5080,5078,5042.0,5117.0
2019,Johor,38th,5168,5164,5118.0,5221.0
2019,Johor,39th,5266,5271,5222.0,5313.0
2019,Johor,40th,5363,5361,5314.0,5399.0
2019,Johor,41st,5454,5448,5400.0,5504.0
2019,Johor,42nd,5541,5537,5505.0,5588.0
2019,Johor,43rd,5635,5635,5589.0,5681.0
2019,Johor,44th,5726,5723,5682.0,5776.0
2019,Johor,45th,5816,5811,5777.0,5869.0
2019,Johor,46th,5922,5922,5870.0,5978.0
2019,Johor,47th,6029,6025,5979.0,6073.0
2019,Johor,48th,6135,6131,6074.0,6195.0
2019,Johor,49th,6246,6246,6196.0,6296.0
2019,Johor,50th,6376,6386,6297.0,6427.0
2019,Johor,51st,6496,6503,6428.0,6560.0
2019,Johor,52nd,6609,6606,6561.0,6671.0
2019,Johor,53rd,6725,6732,6672.0,6772.0
2019,Johor,54th,6836,6840,6773.0,6884.0
2019,Johor,55th,6944,6943,6885.0,6995.0
2019,Johor,56th,7049,7051,6996.0,7087.0
2019,Johor,57th,7145,7142,7088.0,7204.0
2019,Johor,58th,7262,7266,7205.0,7314.0
2019,Johor,59th,7368,7365,7315.0,7431.0
2019,Johor,60th,7486,7483,7432.0,7548.0
2019,Johor,61st,7601,7599,7549.0,7670.0
2019,Johor,62nd,7730,7731,7671.0,7788.0
2019,Johor,63rd,7852,7862,7789.0,7903.0
2019,Johor,64th,7948,7946,7904.0,8010.0
2019,Johor,65th,8108,8110,8011.0,8192.0
2019,Johor,66th,8267,8271,8193.0,8330.0
2019,Johor,67th,8400,8393,8331.0,8477.0
2019,Johor,68th,8548,8553,8478.0,8612.0
2019,Johor,69th,8677,8682,8613.0,8746.0
2019,Johor,70th,8834,8842,8747.0,8927.0
2019,Johor,71st,8998,9009,8928.0,9070.0
2019,Johor,72nd,9165,9163,9071.0,9254.0
2019,Johor,73rd,9348,9345,9255.0,9444.0
2019,Johor,74th,9533,9520,9445.0,9624.0
2019,Johor,75th,9706,9706,9625.0,9807.0
2019,Johor,76th,9905,9915,9808.0,10001.0
2019,Johor,77th,10085,10081,10002.0,10170.0
2019,Johor,78th,10269,10269,10171.0,10392.0
2019,Johor,79th,10499,10498,10393.0,10613.0
2019,Johor,80th,10715,10699,10614.0,10879.0
2019,Johor,81st,11031,11037,10880.0,11162.0
2019,Johor,82nd,11314,11297,11163.0,11467.0
2019,Johor,83rd,11609,11594,11468.0,11759.0
2019,Johor,84th,11933,11919,11760.0,12098.0
2019,Johor,85th,12273,12298,12099.0,12466.0
2019,Johor,86th,12611,12600,12467.0,12784.0
2019,Johor,87th,12983,12984,12785.0,13174.0
2019,Johor,88th,13355,13347,13175.0,13572.0
2019,Johor,89th,13872,13891,13573.0,14120.0
2019,Johor,90th,14397,14406,14121.0,14628.0
2019,Johor,91st,14952,14964,14629.0,15303.0
2019,Johor,92nd,15595,15597,15304.0,15872.0
2019,Johor,93rd,16222,16236,15873.0,16606.0
2019,Johor,94th,16959,16963,16607.0,17287.0
2019,Johor,95th,17955,17892,17288.0,18693.0
2019,Johor,96th,19316,19299,18694.0,20028.0
2019,Johor,97th,21022,20996,20029.0,21946.0
2019,Johor,98th,23372,23135,21947.0,25929.0
2019,Johor,99th,28757,28548,25930.0,33688.0
2019,Johor,100th,49315,46387,33688.0,
2019,Kedah,1st,961,1010,,1077.0
2019,Kedah,2nd,1139,1147,1077.0,1184.0
2019,Kedah,3rd,1257,1241,1185.0,1372.0
2019,Kedah,4th,1466,1475,1373.0,1529.0
2019,Kedah,5th,1592,1594,1530.0,1648.0
2019,Kedah,6th,1695,1695,1649.0,1740.0
2019,Kedah,7th,1776,1777,1741.0,1811.0
2019,Kedah,8th,1886,1891,1812.0,1946.0
2019,Kedah,9th,1983,1985,1947.0,2027.0
2019,Kedah,10th,2067,2068,2028.0,2099.0
2019,Kedah,11th,2138,2146,2100.0,2170.0
2019,Kedah,12th,2213,2218,2171.0,2248.0
2019,Kedah,13th,2292,2296,2249.0,2340.0
2019,Kedah,14th,2374,2372,2341.0,2416.0
2019,Kedah,15th,2461,2461,2417.0,2494.0
2019,Kedah,16th,2517,2518,2495.0,2539.0
2019,Kedah,17th,2559,2560,2540.0,2577.0
2019,Kedah,18th,2596,2595,2578.0,2614.0
2019,Kedah,19th,2631,2633,2615.0,2645.0
2019,Kedah,20th,2670,2671,2646.0,2685.0
2019,Kedah,21st,2706,2705,2686.0,2729.0
2019,Kedah,22nd,2761,2761,2730.0,2789.0
2019,Kedah,23rd,2811,2808,2790.0,2835.0
2019,Kedah,24th,2861,2862,2836.0,2884.0
2019,Kedah,25th,2911,2909,2885.0,2941.0
2019,Kedah,26th,2966,2966,2942.0,2991.0
2019,Kedah,27th,3015,3015,2992.0,3035.0
2019,Kedah,28th,3063,3064,3036.0,3090.0
2019,Kedah,29th,3108,3104,3091.0,3132.0
2019,Kedah,30th,3158,3157,3133.0,3182.0
2019,Kedah,31st,3206,3204,3183.0,3234.0
2019,Kedah,32nd,3261,3257,3235.0,3290.0
2019,Kedah,33rd,3317,3316,3291.0,3343.0
2019,Kedah,34th,3371,3374,3344.0,3399.0
2019,Kedah,35th,3424,3426,3400.0,3444.0
2019,Kedah,36th,3469,3464,3445.0,3500.0
2019,Kedah,37th,3527,3524,3501.0,3551.0
2019,Kedah,38th,3577,3576,3552.0,3610.0
2019,Kedah,39th,3648,3649,3611.0,3677.0
2019,Kedah,40th,3694,3692,3678.0,3709.0
2019,Kedah,41st,3745,3746,3710.0,3782.0
2019,Kedah,42nd,3815,3812,3783.0,3853.0
2019,Kedah,43rd,3888,3892,3854.0,3915.0
2019,Kedah,44th,3959,3960,3916.0,3989.0
2019,Kedah,45th,4013,4013,3990.0,4037.0
2019,Kedah,46th,4069,4067,4038.0,4097.0
2019,Kedah,47th,4123,4121,4098.0,4152.0
2019,Kedah,48th,4183,4183,4153.0,4216.0
2019,Kedah,49th,4251,4253,4217.0,4278.0
2019,Kedah,50th,4301,4298,4279.0,4324.0
2019,Kedah,51st,4358,4363,4325.0,4393.0
2019,Kedah,52nd,4420,4419,4394.0,4445.0
2019,Kedah,53rd,4491,4492,4446.0,4535.0
2019,Kedah,54th,4569,4565,4536.0,4608.0
2019,Kedah,55th,4644,4645,4609.0,4679.0
2019,Kedah,56th,4713,4715,4680.0,4748.0
2019,Kedah,57th,4787,4785,4749.0,4820.0
2019,Kedah,58th,4860,4858,4821.0,4912.0
2019,Kedah,59th,4935,4931,4913.0,4965.0
2019,Kedah,60th,5005,5007,4966.0,5055.0
2019,Kedah,61st,5099,5106,5056.0,5146.0
2019,Kedah,62nd,5206,5212,5147.0,5262.0
2019,Kedah,63rd,5304,5304,5263.0,5342.0
2019,Kedah,64th,5392,5388,5343.0,5452.0
2019,Kedah,65th,5500,5505,5453.0,5547.0
2019,Kedah,66th,5587,5585,5548.0,5632.0
2019,Kedah,67th,5688,5679,5633.0,5751.0
2019,Kedah,68th,5798,5793,5752.0,5853.0
2019,Kedah,69th,5910,5907,5854.0,5974.0
2019,Kedah,70th,6030,6028,5975.0,6102.0
2019,Kedah,71st,6166,6165,6103.0,6239.0
2019,Kedah,72nd,6318,6330,6240.0,6393.0
2019,Kedah,73rd,6443,6442,6394.0,6508.0
2019,Kedah,74th,6571,6576,6509.0,6639.0
2019,Kedah,75th,6716,6729,6640.0,6802.0
2019,Kedah,76th,6870,6876,6803.0,6941.0
2019,Kedah,77th,7021,7017,6942.0,7105.0
2019,Kedah,78th,7166,7157,7106.0,7239.0
2019,Kedah,79th,7312,7303,7240.0,7403.0
2019,Kedah,80th,7476,7473,7404.0,7549.0
2019,Kedah,81st,7648,7627,7550.0,7819.0
2019,Kedah,82nd,7906,7910,7820.0,7994.0
2019,Kedah,83rd,8093,8089,7995.0,8206.0
2019,Kedah,84th,8315,8318,8207.0,8457.0
2019,Kedah,85th,8555,8562,8458.0,8655.0
2019,Kedah,86th,8789,8802,8656.0,8902.0
2019,Kedah,87th,9031,9018,8903.0,9196.0
2019,Kedah,88th,9342,9317,9197.0,9535.0
2019,Kedah,89th,9690,9701,9536.0,9861.0
2019,Kedah,90th,10026,10051,9862.0,10204.0
2019,Kedah,91st,10387,10376,10205.0,10611.0
2019,Kedah,92nd,10854,10868,10612.0,11073.0
2019,Kedah,93rd,11247,11217,11074.0,11532.0
2019,Kedah,94th,11817,11852,11533.0,12097.0
2019,Kedah,95th,12475,12510,12098.0,12798.0
2019,Kedah,96th,13484,13550,12799.0,14181.0
2019,Kedah,97th,14908,14891,14182.0,15769.0
2019,Kedah,98th,16717,16678,15770.0,17699.0
2019,Kedah,99th,19375,19338,17700.0,21955.0
2019,Kedah,100th,29073,26276,21955.0,
2019,Kelantan,1st,827,836,,975.0
2019,Kelantan,2nd,1043,1050,975.0,1107.0
2019,Kelantan,3rd,1156,1160,1108.0,1200.0
2019,Kelantan,4th,1280,1252,1201.0,1388.0
2019,Kelantan,5th,1441,1440,1389.0,1486.0
2019,Kelantan,6th,1522,1517,1487.0,1563.0
2019,Kelantan,7th,1593,1593,1564.0,1627.0
2019,Kelantan,8th,1652,1650,1628.0,1681.0
2019,Kelantan,9th,1711,1712,1682.0,1741.0
2019,Kelantan,10th,1765,1765,1742.0,1792.0
2019,Kelantan,11th,1817,1815,1793.0,1845.0
2019,Kelantan,12th,1874,1873,1846.0,1906.0
2019,Kelantan,13th,1929,1926,1907.0,1960.0
2019,Kelantan,14th,1985,1986,1961.0,2006.0
2019,Kelantan,15th,2036,2039,2007.0,2066.0
2019,Kelantan,16th,2092,2093,2067.0,2114.0
2019,Kelantan,17th,2139,2144,2115.0,2156.0
2019,Kelantan,18th,2184,2184,2157.0,2206.0
2019,Kelantan,19th,2231,2231,2207.0,2257.0
2019,Kelantan,20th,2281,2283,2258.0,2300.0
2019,Kelantan,21st,2328,2331,2301.0,2356.0
2019,Kelantan,22nd,2378,2378,2357.0,2401.0
2019,Kelantan,23rd,2427,2426,2402.0,2454.0
2019,Kelantan,24th,2473,2472,2455.0,2490.0
2019,Kelantan,25th,2503,2502,2491.0,2513.0
2019,Kelantan,26th,2522,2522,2514.0,2531.0
2019,Kelantan,27th,2544,2544,2532.0,2555.0
2019,Kelantan,28th,2570,2568,2556.0,2583.0
2019,Kelantan,29th,2593,2592,2584.0,2605.0
2019,Kelantan,30th,2625,2627,2606.0,2639.0
2019,Kelantan,31st,2658,2660,2640.0,2671.0
2019,Kelantan,32nd,2686,2685,2672.0,2699.0
2019,Kelantan,33rd,2714,2712,2700.0,2737.0
2019,Kelantan,34th,2755,2754,2738.0,2777.0
2019,Kelantan,35th,2799,2797,2778.0,2818.0
2019,Kelantan,36th,2837,2836,2819.0,2861.0
2019,Kelantan,37th,2888,2891,2862.0,2912.0
2019,Kelantan,38th,2936,2939,2913.0,2959.0
2019,Kelantan,39th,2979,2980,2960.0,2994.0
2019,Kelantan,40th,3010,3009,2995.0,3029.0
2019,Kelantan,41st,3045,3043,3030.0,3068.0
2019,Kelantan,42nd,3094,3097,3069.0,3114.0
2019,Kelantan,43rd,3142,3139,3115.0,3169.0
2019,Kelantan,44th,3200,3199,3170.0,3225.0
2019,Kelantan,45th,3261,3267,3226.0,3284.0
2019,Kelantan,46th,3311,3313,3285.0,3332.0
2019,Kelantan,47th,3362,3361,3333.0,3387.0
2019,Kelantan,48th,3424,3424,3388.0,3457.0
2019,Kelantan,49th,3481,3480,3458.0,3507.0
2019,Kelantan,50th,3532,3532,3508.0,3564.0
2019,Kelantan,51st,3596,3600,3565.0,3623.0
2019,Kelantan,52nd,3650,3653,3624.0,3682.0
2019,Kelantan,53rd,3714,3712,3683.0,3746.0
2019,Kelantan,54th,3777,3781,3747.0,3804.0
2019,Kelantan,55th,3836,3835,3805.0,3861.0
2019,Kelantan,56th,3904,3903,3862.0,3939.0
2019,Kelantan,57th,3967,3963,3940.0,4010.0
2019,Kelantan,58th,4046,4049,4011.0,4079.0
2019,Kelantan,59th,4111,4112,4080.0,4144.0
2019,Kelantan,60th,4197,4199,4145.0,4241.0
2019,Kelantan,61st,4281,4284,4242.0,4329.0
2019,Kelantan,62nd,4377,4382,4330.0,4419.0
2019,Kelantan,63rd,4458,4458,4420.0,4502.0
2019,Kelantan,64th,4556,4557,4503.0,4591.0
2019,Kelantan,65th,4635,4631,4592.0,4682.0
2019,Kelantan,66th,4723,4713,4683.0,4778.0
2019,Kelantan,67th,4829,4821,4779.0,4890.0
2019,Kelantan,68th,4937,4943,4891.0,4966.0
2019,Kelantan,69th,5011,5010,4967.0,5068.0
2019,Kelantan,70th,5119,5116,5069.0,5187.0
2019,Kelantan,71st,5240,5234,5188.0,5302.0
2019,Kelantan,72nd,5361,5358,5303.0,5432.0
2019,Kelantan,73rd,5496,5483,5433.0,5573.0
2019,Kelantan,74th,5635,5628,5574.0,5710.0
2019,Kelantan,75th,5770,5764,5711.0,5827.0
2019,Kelantan,76th,5902,5905,5828.0,5968.0
2019,Kelantan,77th,6039,6042,5969.0,6110.0
2019,Kelantan,78th,6200,6203,6111.0,6269.0
2019,Kelantan,79th,6379,6398,6270.0,6481.0
2019,Kelantan,80th,6552,6551,6482.0,6619.0
2019,Kelantan,81st,6702,6709,6620.0,6787.0
2019,Kelantan,82nd,6910,6902,6788.0,7038.0
